GEOID,n_listings,n_unique_hosts,n_entire_home,availability_365,number_of_reviews,share_entire_home
36005023600,3,2,2,339.0,65.66666666666667,0.6666666666666666
36005023703,2,2,0,269.0,3.5,0.0
36005023800,1,1,1,365.0,6.0,1.0
36005023900,6,6,1,222.83333333333334,21.666666666666668,0.16666666666666666
36005024000,1,1,1,365.0,0.0,1.0
36005024100,2,2,1,206.0,62.0,0.5
36005024300,3,3,1,132.66666666666666,17.333333333333332,0.3333333333333333
36005024400,1,1,0,121.0,12.0,0.0
36005024501,2,1,0,0.0,17.5,0.0
36005024600,8,3,4,131.5,50.25,0.5
36005024800,4,4,1,243.75,20.25,0.25
36005025000,2,2,2,147.0,44.5,1.0
36005025100,4,2,1,269.75,0.25,0.25
36005025300,2,1,0,170.5,53.0,0.0
36005025400,1,1,1,0.0,2.0,1.0
36005026300,5,5,1,128.4,21.4,0.2
36005026400,4,3,4,320.0,23.5,1.0
36005026500,7,5,1,115.71428571428571,40.285714285714285,0.14285714285714285
36005026601,2,2,1,271.0,28.5,0.5
36005026602,3,3,2,179.33333333333334,7.333333333333333,0.6666666666666666
36005026701,1,1,0,209.0,0.0,0.0
36005026702,7,6,3,191.28571428571428,7.428571428571429,0.42857142857142855
36005026900,5,5,3,146.0,5.4,0.6
36005027300,2,2,1,0.0,2.0,0.5
36005027401,2,2,1,45.0,13.0,0.5
36005027402,4,3,2,266.75,0.75,0.5
36005027700,2,2,2,198.0,11.0,1.0
36005027900,7,7,5,80.57142857142857,17.0,0.7142857142857143
36005028100,3,3,2,120.0,2.6666666666666665,0.6666666666666666
36005028300,4,4,1,44.75,5.25,0.25
36005028500,4,4,1,22.0,0.75,0.25
36005028600,5,3,2,185.2,36.0,0.4
36005028700,4,3,2,107.5,24.5,0.5
36005028800,5,2,1,287.2,9.8,0.2
36005029302,4,4,2,248.0,38.0,0.5
36005029500,7,6,4,170.57142857142858,36.57142857142857,0.5714285714285714
36005029700,3,3,3,121.33333333333333,2.6666666666666665,1.0
36005030201,4,3,2,255.0,14.25,0.5
36005030202,1,1,0,365.0,40.0,0.0
36005030900,2,2,2,313.0,5.0,1.0
36005031000,5,4,2,245.6,80.6,0.4
36005031200,6,6,4,232.5,92.66666666666667,0.6666666666666666
36005031400,2,2,2,89.5,5.0,1.0
36005031600,10,5,0,284.8,16.4,0.0
36005031800,2,2,1,365.0,8.5,0.5
36005031900,1,1,0,0.0,0.0,0.0
36005032300,1,1,0,364.0,0.0,0.0
36005032400,2,2,1,222.5,0.5,0.5
36005032600,4,2,0,319.25,73.75,0.0
36005032800,7,5,3,231.85714285714286,41.285714285714285,0.42857142857142855
36005033000,7,5,2,239.14285714285714,18.285714285714285,0.2857142857142857
36005033202,1,1,0,365.0,2.0,0.0
36005033700,2,2,2,238.5,29.5,1.0
36005033801,1,1,0,0.0,0.0,0.0
36005033802,1,1,1,270.0,0.0,1.0
36005034000,3,3,3,110.0,35.333333333333336,1.0
36005034200,5,3,4,288.2,23.0,0.8
36005034300,1,1,0,0.0,0.0,0.0
36005034400,5,4,4,173.6,67.0,0.8
36005034500,6,4,5,125.83333333333333,10.0,0.8333333333333334
36005034800,6,6,3,230.16666666666666,57.0,0.5
36005035000,7,5,5,290.85714285714283,50.57142857142857,0.7142857142857143
36005035100,3,3,1,320.0,45.333333333333336,0.3333333333333333
36005035600,6,5,3,287.3333333333333,13.833333333333334,0.5
36005035800,8,8,5,275.0,47.25,0.625
36005035900,3,3,2,240.0,1.0,0.6666666666666666
36005036000,10,6,3,308.3,55.9,0.3
36005036400,3,3,2,181.33333333333334,10.666666666666666,0.6666666666666666
36005036501,1,1,0,269.0,0.0,0.0
36005036502,1,1,0,0.0,11.0,0.0
36005036700,2,2,0,182.5,12.5,0.0
36005036800,5,2,1,245.4,6.4,0.2
36005036901,2,2,0,0.0,0.0,0.0
36005036902,3,1,0,364.6666666666667,8.333333333333334,0.0
36005037000,2,2,2,213.0,100.0,1.0
36005037100,2,2,1,183.5,0.5,0.5
36005037200,1,1,0,0.0,3.0,0.0
36005037300,4,4,2,219.75,31.25,0.5
36005037400,1,1,0,358.0,0.0,0.0
36005037504,1,1,0,365.0,6.0,0.0
36005038000,7,6,3,137.0,14.571428571428571,0.42857142857142855
36005038100,7,7,1,215.71428571428572,18.142857142857142,0.14285714285714285
36005038200,6,3,0,180.5,16.666666666666668,0.0
36005038500,2,2,0,135.5,100.5,0.0
36005038600,6,5,4,195.33333333333334,32.5,0.6666666666666666
36005038700,2,2,1,365.0,20.0,0.5
36005038800,5,3,3,120.4,21.8,0.6
36005038900,7,4,3,136.42857142857142,2.5714285714285716,0.42857142857142855
36005039000,4,3,1,54.25,14.5,0.25
36005039100,8,5,2,270.625,10.0,0.25
36005039200,3,2,0,334.6666666666667,2.3333333333333335,0.0
36005039300,2,2,1,249.5,47.5,0.5
36005039400,2,2,0,168.5,172.0,0.0
36005039600,8,5,1,296.0,9.0,0.125
36005039800,4,3,3,340.25,5.5,0.75
36005039901,2,2,0,182.5,5.0,0.0
36005039902,1,1,1,0.0,7.0,1.0
36005040100,2,2,0,45.0,8.0,0.0
36005040302,2,2,1,365.0,3.5,0.5
36005040304,1,1,0,0.0,0.0,0.0
36005040400,3,2,2,211.66666666666666,13.666666666666666,0.6666666666666666
36005040501,4,3,2,148.75,4.25,0.5
36005040502,9,3,0,160.66666666666666,10.666666666666666,0.0
36005040600,4,2,0,146.75,51.0,0.0
36005040702,4,4,2,89.75,12.5,0.5
36005040800,2,1,0,180.0,48.5,0.0
36005040900,3,3,1,218.0,18.666666666666668,0.3333333333333333
36005041100,3,3,2,352.6666666666667,5.0,0.6666666666666666
36005041300,7,6,2,191.42857142857142,7.142857142857143,0.2857142857142857
36005041400,1,1,0,365.0,10.0,0.0
36005041500,1,1,0,365.0,7.0,0.0
36005041800,15,7,4,321.4,35.6,0.26666666666666666
36005042000,3,3,1,139.66666666666666,32.666666666666664,0.3333333333333333
36005042100,2,2,2,0.0,0.5,1.0
36005042200,2,2,1,182.0,1.0,0.5
36005042300,6,3,1,316.0,24.666666666666668,0.16666666666666666
36005042400,1,1,0,178.0,23.0,0.0
36005042600,24,18,8,267.7916666666667,23.583333333333332,0.3333333333333333
36005042800,4,3,1,182.5,26.5,0.25
36005042901,3,3,1,296.3333333333333,6.333333333333333,0.3333333333333333
36005042902,2,2,1,182.5,0.0,0.5
36005043000,3,3,2,365.0,10.666666666666666,0.6666666666666666
36005043101,1,1,1,365.0,0.0,1.0
36005043102,3,3,0,353.0,8.333333333333334,0.0
36005043400,3,3,1,121.66666666666667,22.0,0.3333333333333333
36005043503,1,1,0,185.0,10.0,0.0
36005044200,5,4,1,161.4,38.6,0.2
36005044400,11,9,6,167.1818181818182,14.363636363636363,0.5454545454545454
36005044800,5,3,3,157.4,29.6,0.6
36005044901,1,1,1,99.0,15.0,1.0
36005045101,1,1,1,363.0,0.0,1.0
36005045102,7,5,6,274.42857142857144,7.714285714285714,0.8571428571428571
36005045600,5,3,0,292.0,0.8,0.0
36005046000,3,3,0,173.66666666666666,21.333333333333332,0.0
36005046205,1,1,0,0.0,0.0,0.0
36005046208,3,3,1,204.0,28.666666666666668,0.3333333333333333
36005046209,7,1,3,350.7142857142857,24.0,0.42857142857142855
36005051601,19,17,15,237.31578947368422,41.26315789473684,0.7894736842105263
36047000100,14,12,12,99.35714285714286,22.642857142857142,0.8571428571428571
36047000301,8,8,7,45.25,21.25,0.875
36047000501,4,4,3,172.25,4.25,0.75
36047000502,11,11,10,56.0,8.545454545454545,0.9090909090909091
36047000700,21,17,18,78.33333333333333,14.285714285714286,0.8571428571428571
36047001501,37,28,20,95.24324324324324,42.32432432432432,0.5405405405405406
36047001502,14,14,9,119.28571428571429,1.9285714285714286,0.6428571428571429
36047001801,1,1,0,364.0,0.0,0.0
36047001802,4,4,2,115.25,66.75,0.5
36047001804,1,1,0,0.0,0.0,0.0
36047002000,3,3,0,307.6666666666667,138.66666666666666,0.0
36047002100,49,43,40,130.12244897959184,45.204081632653065,0.8163265306122449
36047002200,9,7,2,148.88888888888889,18.333333333333332,0.2222222222222222
36047002300,12,12,7,167.58333333333334,16.333333333333332,0.5833333333333334
36047002901,2,2,1,182.5,0.5,0.5
36047003000,1,1,0,0.0,0.0,0.0
